emotion1,emotion2,similarity
inspiration,disgust,1.1833333333333331
tenderness,fear,1.4583333333333335
tenderness,neutral,5.091666666666667
disgust,anger,7.783333333333333
inspiration,fear,1.1166666666666667
fear,anger,8.566666666666666
joy,amusement,8.758333333333333
amusement,neutral,5.066666666666666
joy,fear,1.2083333333333335
joy,sadness,5.033333333333333
inspiration,amusement,8.233333333333334
sadness,anger,8.233333333333334
inspiration,neutral,4.95
joy,neutral,4.958333333333334
inspiration,sadness,1.3333333333333335
amusement,fear,1.2666666666666666
tenderness,joy,6.191666666666666
neutral,sadness,1.1416666666666666
joy,anger,1.1583333333333332
sadness,disgust,7.3
tenderness,amusement,5.6
tenderness,sadness,6.158333333333333
neutral,fear,4.975
neutral,anger,4.408333333333333
tenderness,disgust,4.308333333333334
amusement,disgust,1.3250000000000002
neutral,disgust,4.758333333333333
inspiration,anger,1.5499999999999998
fear,disgust,6.691666666666666
amusement,sadness,1.35
joy,inspiration,7.183333333333334
joy,disgust,1.3333333333333335
tenderness,inspiration,4.966666666666667
amusement,anger,1.4
tenderness,anger,3.1166666666666667
sadness,fear,1.2333333333333334
