emotion1,emotion2,similarity
fear,anger,4.475
tenderness,anger,1.2000000000000002
joy,anger,1.2333333333333334
amusement,neutral,3.4416666666666664
sadness,anger,4.491666666666667
amusement,anger,2.466666666666667
fear,disgust,6.466666666666667
inspiration,fear,1.4916666666666667
neutral,anger,3.6
inspiration,disgust,1.5666666666666669
tenderness,disgust,2.6666666666666665
joy,sadness,1.4166666666666665
joy,fear,1.4833333333333334
joy,disgust,1.5
amusement,sadness,1.5166666666666666
disgust,anger,6.45
joy,inspiration,6.375
tenderness,sadness,1.5333333333333332
neutral,fear,1.65
tenderness,inspiration,5.591666666666667
inspiration,anger,1.5166666666666666
amusement,fear,1.5166666666666666
amusement,disgust,1.5166666666666666
sadness,fear,5.408333333333333
tenderness,neutral,5.65
neutral,disgust,4.408333333333333
inspiration,amusement,7.575
tenderness,amusement,7.4
tenderness,joy,7.358333333333333
joy,neutral,5.566666666666666
joy,amusement,7.358333333333333
tenderness,fear,2.308333333333333
inspiration,neutral,4.758333333333333
sadness,disgust,6.566666666666666
neutral,sadness,5.558333333333334
inspiration,sadness,2.4916666666666667
