emotion1,emotion2,similarity
joy,fear,1.0
inspiration,sadness,1.0
sadness,anger,1.9833333333333334
inspiration,fear,1.0
fear,disgust,2.0
amusement,sadness,1.0
tenderness,neutral,4.991666666666667
fear,anger,4.983333333333333
tenderness,sadness,1.0
amusement,anger,1.0
tenderness,disgust,2.0
amusement,disgust,1.0
joy,amusement,9.0
inspiration,disgust,1.0
amusement,neutral,5.025
sadness,disgust,2.9916666666666667
amusement,fear,1.0
joy,sadness,1.0
tenderness,anger,1.9916666666666667
disgust,anger,2.9583333333333335
joy,neutral,2.5083333333333333
neutral,disgust,1.0083333333333333
inspiration,neutral,3.0166666666666666
tenderness,inspiration,3.55
tenderness,fear,1.0
inspiration,anger,1.0
joy,inspiration,6.991666666666667
neutral,anger,1.9916666666666667
inspiration,amusement,3.0083333333333333
neutral,sadness,3.0083333333333333
joy,anger,1.0
joy,disgust,1.0
tenderness,joy,6.975
sadness,fear,5.0
neutral,fear,2.0166666666666666
tenderness,amusement,6.466666666666667
