emotion1,emotion2,similarity
amusement,disgust,3.6
tenderness,sadness,6.108333333333333
tenderness,inspiration,4.325
tenderness,neutral,2.225
neutral,disgust,1.4833333333333334
tenderness,anger,1.1833333333333331
joy,inspiration,7.425
amusement,neutral,3.3166666666666664
joy,amusement,8.733333333333334
fear,disgust,8.05
tenderness,disgust,1.3250000000000002
inspiration,sadness,2.8916666666666666
inspiration,disgust,1.85
neutral,sadness,1.8583333333333334
disgust,anger,5.225
amusement,fear,3.3833333333333333
inspiration,neutral,3.8916666666666666
neutral,fear,1.5416666666666665
sadness,anger,6.675
tenderness,fear,1.7166666666666668
sadness,fear,5.266666666666667
joy,anger,1.625
joy,fear,1.2666666666666666
tenderness,amusement,6.391666666666667
neutral,anger,1.4083333333333332
fear,anger,8.591666666666667
inspiration,amusement,3.1833333333333336
tenderness,joy,6.941666666666666
amusement,sadness,3.9
amusement,anger,1.5
joy,neutral,3.333333333333333
inspiration,fear,5.7
inspiration,anger,3.791666666666667
joy,disgust,1.1
joy,sadness,1.3083333333333331
sadness,disgust,3.041666666666667
