emotion1,emotion2,similarity
tenderness,anger,1.0333333333333332
tenderness,neutral,2.1083333333333334
fear,anger,8.975
neutral,fear,1.0083333333333333
sadness,anger,6.016666666666667
tenderness,disgust,1.0416666666666665
joy,neutral,1.0
disgust,anger,7.058333333333334
tenderness,joy,6.983333333333333
amusement,disgust,5.083333333333333
inspiration,neutral,1.1083333333333334
amusement,fear,4.958333333333334
amusement,neutral,2.975
neutral,disgust,1.0416666666666665
inspiration,anger,2.9583333333333335
neutral,anger,1.0333333333333332
sadness,disgust,3.033333333333333
joy,fear,1.025
tenderness,inspiration,8.0
tenderness,sadness,7.008333333333333
inspiration,sadness,5.116666666666666
tenderness,amusement,5.108333333333333
joy,sadness,2.0083333333333333
fear,disgust,6.033333333333333
inspiration,amusement,7.033333333333333
joy,inspiration,7.991666666666667
joy,amusement,7.991666666666667
neutral,sadness,2.075
inspiration,fear,1.1
joy,anger,1.2083333333333335
amusement,anger,1.2083333333333335
amusement,sadness,1.2083333333333335
inspiration,disgust,1.0
sadness,fear,7.016666666666667
tenderness,fear,1.0
joy,disgust,1.0
