emotion1,emotion2,similarity
tenderness,disgust,1.0
tenderness,fear,1.0
joy,fear,1.0
inspiration,disgust,1.0
joy,inspiration,2.9833333333333334
tenderness,sadness,2.0
tenderness,inspiration,2.825
tenderness,anger,1.0
tenderness,joy,3.575
inspiration,fear,1.0
amusement,neutral,1.0
neutral,anger,1.0
neutral,sadness,1.0
inspiration,amusement,1.0
inspiration,neutral,1.0
joy,neutral,1.0
inspiration,sadness,1.0
sadness,fear,4.991666666666667
neutral,fear,1.0
tenderness,amusement,1.3166666666666669
sadness,disgust,1.375
amusement,disgust,1.0
tenderness,neutral,1.9833333333333334
amusement,sadness,1.4083333333333332
joy,anger,1.0
joy,disgust,1.0
disgust,anger,5.85
fear,anger,5.608333333333333
amusement,fear,1.0
sadness,anger,5.425
inspiration,anger,1.0
joy,sadness,1.0
fear,disgust,4.333333333333334
neutral,disgust,1.0
amusement,anger,1.0083333333333333
joy,amusement,5.583333333333333
