emotion1,emotion2,similarity
tenderness,inspiration,1.0
disgust,anger,1.0
joy,neutral,5.141666666666667
amusement,sadness,1.0
joy,inspiration,5.95
neutral,fear,1.0
inspiration,disgust,1.0
joy,disgust,1.0
amusement,disgust,1.0
sadness,disgust,2.025
inspiration,fear,1.0
joy,fear,1.0
joy,anger,1.0
tenderness,joy,5.0
inspiration,neutral,2.825
amusement,fear,1.0
tenderness,disgust,1.0
sadness,anger,3.9916666666666667
amusement,anger,1.0
inspiration,sadness,3.9416666666666664
joy,amusement,3.9916666666666667
neutral,sadness,1.0
tenderness,amusement,1.9249999999999998
fear,anger,6.025
inspiration,anger,1.0
tenderness,sadness,1.0
amusement,neutral,1.0
tenderness,fear,1.975
tenderness,anger,1.0
fear,disgust,5.008333333333334
neutral,disgust,1.0
sadness,fear,1.0
joy,sadness,1.0
inspiration,amusement,5.541666666666667
neutral,anger,1.0
tenderness,neutral,6.016666666666667
