emotion1,emotion2,similarity
disgust,anger,2.9833333333333334
joy,anger,1.0
joy,inspiration,6.95
tenderness,anger,1.0
tenderness,neutral,6.033333333333333
amusement,neutral,5.041666666666667
joy,disgust,3.05
tenderness,fear,1.0
inspiration,sadness,5.033333333333333
tenderness,inspiration,8.991666666666667
inspiration,anger,2.975
sadness,fear,6.008333333333333
joy,fear,2.9916666666666667
tenderness,amusement,8.008333333333333
neutral,disgust,5.033333333333333
fear,disgust,8.975
neutral,sadness,5.0
amusement,sadness,3.0583333333333336
tenderness,sadness,8.041666666666666
sadness,anger,8.083333333333334
sadness,disgust,2.966666666666667
neutral,fear,3.9916666666666667
amusement,anger,1.025
inspiration,neutral,4.991666666666667
inspiration,amusement,7.0
fear,anger,7.008333333333333
neutral,anger,5.016666666666667
joy,neutral,5.025
joy,amusement,8.975
tenderness,joy,8.958333333333334
amusement,disgust,1.9249999999999998
inspiration,fear,1.0
amusement,fear,1.9166666666666665
tenderness,disgust,2.0083333333333333
inspiration,disgust,1.0333333333333332
joy,sadness,5.983333333333333
