emotion1,emotion2,similarity
inspiration,neutral,3.4416666666666664
tenderness,anger,1.0
neutral,disgust,3.425
disgust,anger,6.4
fear,disgust,5.283333333333333
joy,anger,1.0
tenderness,joy,6.983333333333333
joy,fear,1.3666666666666667
amusement,anger,1.3333333333333335
amusement,fear,1.0
neutral,anger,2.4
fear,anger,5.491666666666666
tenderness,amusement,6.575
inspiration,anger,2.4166666666666665
joy,sadness,2.45
tenderness,sadness,5.55
inspiration,fear,2.55
tenderness,fear,2.466666666666667
tenderness,disgust,2.3333333333333335
joy,neutral,3.575
neutral,sadness,3.6333333333333333
amusement,neutral,3.458333333333333
amusement,sadness,2.408333333333333
tenderness,inspiration,5.558333333333334
sadness,anger,5.683333333333334
joy,amusement,4.991666666666667
sadness,disgust,4.466666666666667
tenderness,neutral,4.658333333333333
amusement,disgust,5.466666666666667
inspiration,sadness,2.316666666666667
joy,disgust,2.408333333333333
joy,inspiration,4.733333333333333
inspiration,disgust,1.3666666666666667
sadness,fear,5.866666666666667
neutral,fear,1.4083333333333332
inspiration,amusement,3.5
