emotion1,emotion2,similarity
inspiration,disgust,1.025
tenderness,disgust,1.0333333333333332
inspiration,sadness,3.775
tenderness,joy,7.8
amusement,sadness,2.7916666666666665
amusement,neutral,3.55
inspiration,neutral,2.7083333333333335
sadness,fear,1.725
tenderness,fear,1.0166666666666666
disgust,anger,1.625
neutral,disgust,3.841666666666667
sadness,anger,4.533333333333333
fear,disgust,4.141666666666667
inspiration,anger,2.725
joy,neutral,1.7083333333333335
joy,fear,1.0499999999999998
neutral,sadness,1.2999999999999998
joy,inspiration,3.166666666666667
tenderness,neutral,4.4
neutral,fear,1.5416666666666665
sadness,disgust,1.0
amusement,disgust,1.0499999999999998
neutral,anger,1.0333333333333332
amusement,anger,1.0333333333333332
inspiration,fear,1.225
tenderness,sadness,2.683333333333333
inspiration,amusement,2.1666666666666665
joy,disgust,1.5
amusement,fear,1.0
fear,anger,2.2666666666666666
tenderness,anger,1.0916666666666668
joy,amusement,4.7
joy,anger,1.2166666666666668
tenderness,inspiration,6.258333333333333
tenderness,amusement,3.275
joy,sadness,1.0166666666666666
