emotion1,emotion2,similarity
tenderness,neutral,6.95
joy,amusement,8.516666666666666
amusement,fear,1.0
tenderness,disgust,1.0
neutral,fear,2.9916666666666667
amusement,anger,1.0
tenderness,inspiration,7.516666666666667
sadness,disgust,2.0
joy,anger,1.025
inspiration,disgust,1.0
amusement,sadness,1.0
inspiration,anger,1.5333333333333332
neutral,disgust,2.025
tenderness,joy,7.975
amusement,disgust,1.9833333333333334
inspiration,neutral,6.008333333333333
joy,disgust,2.0083333333333333
fear,disgust,2.4916666666666667
disgust,anger,5.966666666666667
inspiration,amusement,1.9583333333333335
amusement,neutral,1.975
tenderness,anger,1.0
tenderness,fear,1.0
sadness,anger,2.0
joy,sadness,1.0
neutral,anger,3.0166666666666666
joy,neutral,1.9500000000000002
fear,anger,5.491666666666666
neutral,sadness,3.0166666666666666
joy,inspiration,7.975
tenderness,amusement,8.491666666666667
tenderness,sadness,1.9916666666666667
joy,fear,1.0083333333333333
inspiration,fear,1.0083333333333333
inspiration,sadness,6.408333333333333
sadness,fear,7.008333333333333
