emotion1,emotion2,similarity
tenderness,amusement,1.0083333333333333
inspiration,neutral,1.0083333333333333
tenderness,sadness,4.991666666666667
neutral,anger,1.0
tenderness,inspiration,5.991666666666667
neutral,disgust,1.0
joy,amusement,6.983333333333333
joy,neutral,1.0
tenderness,joy,8.008333333333333
amusement,neutral,1.0
neutral,sadness,1.0
inspiration,fear,1.0
joy,sadness,1.0
inspiration,amusement,1.0
tenderness,neutral,1.0
amusement,disgust,1.0
joy,inspiration,1.0
sadness,anger,5.983333333333333
amusement,fear,1.0
joy,anger,1.0
neutral,fear,1.0
tenderness,anger,1.0083333333333333
inspiration,sadness,1.0083333333333333
sadness,fear,5.0
amusement,sadness,1.0
tenderness,disgust,1.0
fear,anger,4.991666666666667
tenderness,fear,1.0
fear,disgust,5.008333333333334
inspiration,disgust,1.0083333333333333
disgust,anger,4.991666666666667
amusement,anger,1.0
joy,fear,1.0
sadness,disgust,1.0
inspiration,anger,1.0
joy,disgust,1.0
