emotion1,emotion2,similarity
inspiration,sadness,1.0
sadness,disgust,1.0
inspiration,disgust,1.0
disgust,anger,1.975
joy,amusement,7.033333333333333
fear,disgust,6.008333333333333
sadness,anger,5.0
tenderness,disgust,1.0
tenderness,joy,5.0
joy,sadness,1.0083333333333333
amusement,disgust,3.95
inspiration,anger,3.95
joy,inspiration,6.1
sadness,fear,6.141666666666667
inspiration,neutral,1.0
tenderness,neutral,4.991666666666667
amusement,sadness,1.0750000000000002
tenderness,inspiration,6.008333333333333
neutral,sadness,4.9
amusement,fear,3.8833333333333333
tenderness,sadness,5.7
neutral,fear,3.2666666666666666
joy,anger,1.0
tenderness,anger,1.0083333333333333
inspiration,fear,1.75
inspiration,amusement,5.575
joy,disgust,2.216666666666667
amusement,neutral,3.466666666666667
fear,anger,5.425
joy,fear,1.0083333333333333
amusement,anger,2.9916666666666667
joy,neutral,2.95
tenderness,fear,1.0
neutral,anger,1.0
tenderness,amusement,3.958333333333333
neutral,disgust,2.033333333333333
