emotion1,emotion2,similarity
joy,fear,1.1
neutral,fear,1.65
disgust,anger,5.591666666666667
tenderness,fear,1.4583333333333335
sadness,fear,6.575
joy,sadness,1.0
amusement,anger,1.0
neutral,sadness,2.9833333333333334
sadness,anger,6.625
amusement,neutral,6.025
tenderness,anger,1.0
joy,inspiration,7.15
amusement,fear,1.0
tenderness,inspiration,6.033333333333333
amusement,sadness,2.058333333333333
fear,anger,7.566666666666666
inspiration,sadness,3.291666666666667
amusement,disgust,1.1333333333333333
inspiration,disgust,1.4333333333333331
fear,disgust,5.383333333333334
neutral,disgust,1.5750000000000002
joy,anger,2.316666666666667
inspiration,fear,5.291666666666667
inspiration,amusement,6.2
sadness,disgust,6.425
tenderness,sadness,3.925
tenderness,neutral,7.158333333333333
tenderness,amusement,4.008333333333333
neutral,anger,3.4833333333333334
joy,disgust,2.8583333333333334
tenderness,joy,6.016666666666667
joy,neutral,6.675
inspiration,anger,2.85
tenderness,disgust,3.575
inspiration,neutral,7.225
joy,amusement,7.166666666666666
