emotion1,emotion2,similarity
neutral,disgust,5.016666666666667
tenderness,anger,1.9416666666666669
disgust,anger,6.166666666666667
joy,inspiration,7.725
sadness,disgust,5.891666666666667
neutral,anger,4.991666666666667
inspiration,disgust,2.933333333333333
tenderness,joy,8.2
joy,amusement,8.183333333333334
amusement,fear,1.5499999999999998
amusement,neutral,4.991666666666667
joy,fear,1.5499999999999998
tenderness,disgust,2.3916666666666666
tenderness,amusement,7.483333333333333
amusement,disgust,3.158333333333333
neutral,fear,5.0
inspiration,anger,5.6
tenderness,sadness,5.025
tenderness,inspiration,6.108333333333333
joy,anger,3.775
fear,anger,6.491666666666667
fear,disgust,7.5
inspiration,fear,4.408333333333333
inspiration,neutral,5.008333333333334
sadness,fear,3.333333333333333
tenderness,neutral,4.983333333333333
amusement,sadness,3.2
sadness,anger,6.658333333333333
inspiration,sadness,3.791666666666667
tenderness,fear,2.6
neutral,sadness,5.025
amusement,anger,4.608333333333333
joy,disgust,3.158333333333333
joy,neutral,5.016666666666667
joy,sadness,1.0
inspiration,amusement,5.891666666666667
