emotion1,emotion2,similarity
inspiration,neutral,3.0
sadness,fear,2.0166666666666666
joy,anger,1.0166666666666666
joy,disgust,1.0166666666666666
fear,disgust,5.933333333333334
amusement,disgust,1.0
neutral,disgust,1.025
tenderness,disgust,1.0
amusement,sadness,4.958333333333334
tenderness,anger,1.975
neutral,fear,1.0
joy,sadness,1.0
tenderness,inspiration,7.808333333333334
tenderness,fear,1.0
joy,fear,1.0
inspiration,disgust,1.0333333333333332
neutral,anger,3.45
tenderness,neutral,5.991666666666667
tenderness,amusement,6.358333333333333
joy,amusement,5.575
fear,anger,2.591666666666667
inspiration,fear,1.0
amusement,neutral,4.483333333333333
neutral,sadness,5.991666666666667
sadness,disgust,2.5416666666666665
inspiration,sadness,1.975
inspiration,anger,1.0
joy,neutral,4.725
tenderness,sadness,7.008333333333333
tenderness,joy,6.616666666666667
disgust,anger,1.0
joy,inspiration,6.008333333333333
amusement,fear,1.0
sadness,anger,1.0
amusement,anger,1.0
inspiration,amusement,3.0
