emotion1,emotion2,similarity
inspiration,neutral,1.0
tenderness,amusement,5.008333333333334
tenderness,disgust,1.0
inspiration,fear,4.008333333333333
disgust,anger,1.9333333333333331
joy,neutral,1.0
amusement,neutral,1.0333333333333332
amusement,anger,1.0
neutral,sadness,1.0
tenderness,inspiration,2.625
joy,disgust,1.0
sadness,disgust,1.5499999999999998
amusement,fear,1.0
tenderness,neutral,1.0166666666666666
neutral,fear,1.0
tenderness,fear,1.0
neutral,disgust,1.0166666666666666
amusement,disgust,1.0083333333333333
tenderness,sadness,1.025
neutral,anger,1.025
fear,anger,5.025
tenderness,anger,1.0
inspiration,disgust,1.0083333333333333
sadness,anger,2.433333333333333
joy,anger,1.0
inspiration,anger,3.458333333333333
joy,inspiration,5.016666666666667
inspiration,amusement,1.025
joy,sadness,1.0
tenderness,joy,6.958333333333333
joy,fear,1.0166666666666666
joy,amusement,3.975
amusement,sadness,1.0
fear,disgust,1.1
inspiration,sadness,3.1166666666666667
sadness,fear,3.916666666666667
