emotion1,emotion2,similarity
inspiration,neutral,2.9916666666666667
fear,disgust,6.975
tenderness,joy,5.983333333333333
inspiration,disgust,1.1333333333333333
amusement,sadness,1.5583333333333331
disgust,anger,7.391666666666667
joy,fear,1.0583333333333331
joy,inspiration,6.691666666666666
joy,anger,1.1666666666666665
sadness,anger,6.991666666666667
inspiration,fear,1.1333333333333333
joy,amusement,8.0
tenderness,fear,1.375
joy,disgust,1.1583333333333332
tenderness,inspiration,6.941666666666666
tenderness,disgust,1.1
amusement,anger,3.575
neutral,sadness,3.033333333333333
inspiration,anger,2.325
tenderness,neutral,5.525
joy,sadness,1.0750000000000002
tenderness,sadness,1.15
neutral,disgust,3.658333333333333
neutral,fear,2.725
amusement,neutral,3.091666666666667
tenderness,anger,1.5
neutral,anger,2.525
fear,anger,7.516666666666667
tenderness,amusement,4.341666666666667
joy,neutral,4.433333333333334
amusement,disgust,3.3666666666666667
sadness,fear,7.0
inspiration,amusement,4.458333333333334
amusement,fear,2.441666666666667
inspiration,sadness,2.0416666666666665
sadness,disgust,7.733333333333333
