emotion1,emotion2,similarity
joy,sadness,1.0
inspiration,sadness,3.033333333333333
inspiration,disgust,1.0
inspiration,anger,5.991666666666667
joy,fear,1.0
tenderness,fear,1.0
fear,anger,3.975
inspiration,neutral,3.9916666666666667
disgust,anger,6.016666666666667
sadness,fear,5.983333333333333
tenderness,disgust,1.0166666666666666
amusement,fear,2.0083333333333333
sadness,disgust,2.9916666666666667
joy,inspiration,8.516666666666666
joy,amusement,8.966666666666667
amusement,sadness,1.35
amusement,anger,1.4583333333333335
neutral,sadness,1.025
tenderness,inspiration,6.991666666666667
tenderness,joy,6.95
inspiration,fear,1.025
sadness,anger,7.008333333333333
fear,disgust,4.958333333333334
tenderness,amusement,2.9916666666666667
inspiration,amusement,3.9833333333333334
tenderness,neutral,4.0
amusement,neutral,4.983333333333333
neutral,fear,1.475
joy,neutral,1.4666666666666668
neutral,disgust,1.5083333333333333
joy,anger,1.0
amusement,disgust,3.541666666666667
tenderness,anger,1.0333333333333332
tenderness,sadness,6.533333333333333
joy,disgust,1.0
neutral,anger,1.0
