emotion1,emotion2,similarity
joy,inspiration,2.9833333333333334
fear,disgust,2.0
tenderness,disgust,1.0
neutral,disgust,1.0
tenderness,fear,1.0
inspiration,anger,7.0
tenderness,amusement,7.991666666666667
amusement,sadness,5.566666666666666
joy,anger,1.0
fear,anger,2.466666666666667
amusement,neutral,1.0
neutral,sadness,1.0
joy,fear,1.0
sadness,anger,6.975
tenderness,anger,1.0
inspiration,fear,8.0
disgust,anger,5.55
inspiration,sadness,5.266666666666667
neutral,anger,1.0166666666666666
joy,sadness,1.0
sadness,fear,1.9916666666666667
amusement,disgust,4.008333333333333
neutral,fear,1.0
amusement,anger,1.0
inspiration,neutral,1.0
joy,neutral,1.0
tenderness,neutral,3.0083333333333333
tenderness,inspiration,2.0
amusement,fear,1.0
tenderness,joy,5.966666666666667
sadness,disgust,1.0
inspiration,amusement,1.0
inspiration,disgust,1.0
joy,amusement,8.0
joy,disgust,1.0
tenderness,sadness,3.7583333333333333
