emotion1,emotion2,similarity
joy,neutral,4.966666666666667
tenderness,disgust,1.0166666666666666
fear,disgust,7.908333333333333
inspiration,amusement,8.991666666666667
joy,anger,1.025
amusement,neutral,4.983333333333333
joy,inspiration,9.0
neutral,disgust,2.975
joy,disgust,1.0
inspiration,fear,5.0
tenderness,neutral,3.0083333333333333
inspiration,anger,6.066666666666666
tenderness,amusement,5.983333333333333
joy,amusement,8.966666666666667
amusement,sadness,1.9916666666666667
tenderness,sadness,6.05
neutral,fear,5.975
inspiration,neutral,5.008333333333334
tenderness,fear,1.0083333333333333
sadness,disgust,3.9833333333333334
fear,anger,8.983333333333334
tenderness,inspiration,7.075
inspiration,disgust,1.0
tenderness,anger,1.9500000000000002
neutral,anger,4.95
amusement,disgust,1.0
sadness,fear,8.008333333333333
tenderness,joy,6.95
joy,sadness,1.0
joy,fear,1.9916666666666667
disgust,anger,5.991666666666667
sadness,anger,8.991666666666667
amusement,fear,1.0
neutral,sadness,4.991666666666667
amusement,anger,1.0
inspiration,sadness,3.025
