emotion1,emotion2,similarity
joy,anger,1.0
joy,sadness,1.0
tenderness,fear,1.0
amusement,sadness,1.0
joy,amusement,6.008333333333333
neutral,anger,1.0166666666666666
joy,disgust,1.0166666666666666
inspiration,neutral,4.983333333333333
tenderness,inspiration,5.983333333333333
neutral,sadness,4.041666666666666
amusement,neutral,4.975
amusement,disgust,1.0083333333333333
neutral,disgust,4.0
joy,neutral,5.975
tenderness,neutral,6.008333333333333
tenderness,sadness,4.016666666666667
joy,fear,1.0
sadness,disgust,6.016666666666667
neutral,fear,1.0
sadness,anger,5.958333333333333
amusement,anger,1.025
tenderness,disgust,1.0
tenderness,anger,1.0166666666666666
inspiration,sadness,1.0
fear,disgust,5.95
disgust,anger,5.991666666666667
tenderness,joy,5.983333333333333
inspiration,disgust,1.0416666666666665
tenderness,amusement,1.025
inspiration,fear,1.0333333333333332
inspiration,anger,1.0333333333333332
sadness,fear,5.966666666666667
amusement,fear,1.025
joy,inspiration,5.991666666666667
fear,anger,6.016666666666667
inspiration,amusement,6.0
