emotion1,emotion2,similarity
inspiration,anger,3.7
tenderness,fear,5.375
inspiration,neutral,5.55
joy,disgust,3.791666666666667
tenderness,joy,4.891666666666667
neutral,anger,5.216666666666667
tenderness,neutral,3.9
joy,sadness,4.641666666666667
amusement,disgust,5.166666666666667
amusement,neutral,4.733333333333333
fear,disgust,5.433333333333334
disgust,anger,5.608333333333333
tenderness,sadness,5.425
amusement,sadness,4.683333333333334
neutral,sadness,5.175
joy,amusement,6.333333333333333
neutral,fear,6.275
tenderness,amusement,6.316666666666666
fear,anger,5.591666666666667
inspiration,sadness,6.4
inspiration,amusement,6.333333333333333
tenderness,inspiration,4.616666666666667
amusement,anger,5.35
tenderness,disgust,5.45
sadness,anger,5.666666666666667
amusement,fear,5.7
inspiration,fear,5.425
joy,neutral,5.508333333333333
joy,anger,5.2
tenderness,anger,5.583333333333333
joy,fear,5.316666666666666
sadness,disgust,5.633333333333333
sadness,fear,5.533333333333333
inspiration,disgust,6.45
neutral,disgust,5.566666666666666
joy,inspiration,3.625
