emotion1,emotion2,similarity
sadness,anger,1.0
joy,amusement,7.05
tenderness,joy,4.741666666666667
neutral,sadness,5.0
neutral,anger,5.0
tenderness,inspiration,6.641666666666667
disgust,anger,2.075
sadness,fear,2.425
inspiration,anger,1.0
tenderness,neutral,5.025
joy,neutral,4.991666666666667
inspiration,fear,1.85
tenderness,fear,1.6666666666666665
sadness,disgust,2.875
neutral,disgust,4.991666666666667
amusement,sadness,1.1583333333333332
joy,disgust,1.4166666666666665
tenderness,disgust,1.15
inspiration,amusement,2.283333333333333
inspiration,disgust,1.2833333333333332
neutral,fear,4.95
inspiration,sadness,1.475
amusement,neutral,5.008333333333334
inspiration,neutral,4.975
fear,disgust,1.7999999999999998
amusement,fear,1.0333333333333332
joy,inspiration,5.483333333333333
tenderness,amusement,3.6333333333333333
fear,anger,2.5
tenderness,sadness,6.4
tenderness,anger,1.9166666666666665
joy,anger,1.0
joy,sadness,1.0
joy,fear,1.0
amusement,disgust,1.2166666666666668
amusement,anger,1.0
