emotion1,emotion2,similarity
sadness,anger,3.0
joy,inspiration,8.016666666666666
joy,anger,1.0
amusement,neutral,1.9833333333333334
amusement,anger,1.025
inspiration,neutral,5.008333333333334
inspiration,fear,3.041666666666667
neutral,anger,1.0
sadness,fear,5.991666666666667
neutral,sadness,1.0
joy,fear,2.0
fear,anger,4.991666666666667
tenderness,inspiration,8.991666666666667
inspiration,sadness,3.9916666666666667
inspiration,disgust,1.0
amusement,disgust,2.0
inspiration,anger,4.05
joy,disgust,1.0
tenderness,fear,1.0
disgust,anger,8.008333333333333
neutral,fear,1.9916666666666667
tenderness,neutral,6.991666666666667
tenderness,disgust,1.0
tenderness,joy,8.016666666666666
joy,sadness,1.0
tenderness,amusement,3.95
tenderness,sadness,5.025
sadness,disgust,2.9833333333333334
fear,disgust,3.9833333333333334
amusement,fear,1.9583333333333335
tenderness,anger,1.0
inspiration,amusement,5.958333333333333
joy,neutral,2.941666666666667
amusement,sadness,1.0
neutral,disgust,3.0083333333333333
joy,amusement,8.958333333333334
