blockIndex,responseTime,ifCorrect
1.0,1.9702747000000045,1.0
1.0,3.0103483000000324,1.0
1.0,1.5732037999999875,1.0
1.0,1.0278015999999752,1.0
1.0,1.2259851999999682,1.0
1.0,1.7674377999999251,1.0
1.0,3.266635000000065,1.0
1.0,2.6178439000000253,1.0
1.0,2.051577899999984,1.0
1.0,1.4751605000000154,1.0
2.0,2.063195199999882,1.0
2.0,1.3399022999999488,1.0
2.0,2.1781781000001956,1.0
2.0,2.026807199999894,1.0
2.0,2.7668427999999494,1.0
2.0,1.7263463000001593,1.0
2.0,2.184792100000095,1.0
2.0,4.190358599999854,1.0
2.0,3.7530532000000676,1.0
2.0,1.447875999999951,1.0
3.0,2.534416599999986,1.0
3.0,1.8280154999997649,1.0
3.0,1.5752685000002202,1.0
3.0,1.5733918000000813,1.0
3.0,1.0354184999996505,1.0
3.0,2.561970900000233,1.0
3.0,1.3164906000001793,1.0
3.0,1.5714496000000509,1.0
3.0,1.5982273999998142,1.0
3.0,2.2100792000001093,1.0
4.0,1.9268852000000152,1.0
4.0,1.7664079999999558,1.0
4.0,2.2398801999997886,1.0
4.0,1.1174504000000525,1.0
4.0,1.9583278999998583,1.0
4.0,1.8281120999999985,1.0
4.0,1.2227739999998448,1.0
4.0,2.0201489000000947,1.0
4.0,1.7618499000000156,1.0
4.0,1.6120139999998173,1.0
5.0,2.422089799999867,1.0
5.0,1.8617131000000882,1.0
5.0,1.4783333999998831,1.0
5.0,1.9625037000000702,1.0
5.0,1.5177984000001743,1.0
5.0,1.570055400000001,1.0
5.0,1.2140128999999433,1.0
5.0,1.5701940999997532,1.0
5.0,1.6292017999999189,1.0
5.0,2.2219764999999825,1.0
6.0,2.2980901999999332,1.0
6.0,1.2424843999997393,1.0
6.0,2.082898099999966,1.0
6.0,1.1494525999996767,1.0
6.0,1.1863200000002507,1.0
6.0,1.0331529999998565,1.0
6.0,1.3385425999999825,1.0
6.0,1.8545285999998669,1.0
6.0,2.0191718999999466,1.0
6.0,2.439323300000069,1.0
