emotion1,emotion2,similarity
inspiration,neutral,1.9916666666666667
inspiration,anger,1.0
tenderness,sadness,1.0
tenderness,amusement,1.0
tenderness,joy,2.975
amusement,disgust,1.0
neutral,disgust,1.0166666666666666
fear,anger,1.0416666666666665
joy,disgust,1.0416666666666665
joy,fear,1.0
neutral,fear,1.975
amusement,fear,1.0
sadness,fear,3.0083333333333333
fear,disgust,4.958333333333334
joy,anger,1.0
tenderness,anger,1.0
inspiration,amusement,2.0083333333333333
neutral,anger,3.0083333333333333
amusement,neutral,5.025
inspiration,disgust,1.0
tenderness,disgust,1.0
inspiration,sadness,1.0
sadness,anger,1.0
tenderness,fear,1.0
joy,amusement,9.0
tenderness,neutral,4.966666666666667
tenderness,inspiration,3.9833333333333334
joy,inspiration,3.041666666666667
amusement,anger,1.0
neutral,sadness,4.966666666666667
joy,sadness,1.0
amusement,sadness,1.0
inspiration,fear,1.0
disgust,anger,3.033333333333333
joy,neutral,4.983333333333333
sadness,disgust,1.0
