emotion1,emotion2,similarity
amusement,fear,4.016666666666667
joy,amusement,6.3
inspiration,sadness,3.791666666666667
fear,disgust,7.45
tenderness,neutral,3.725
inspiration,neutral,5.225
inspiration,amusement,4.133333333333333
amusement,neutral,4.141666666666667
sadness,disgust,2.8583333333333334
joy,neutral,4.691666666666666
tenderness,amusement,4.225
amusement,sadness,3.583333333333333
inspiration,fear,3.8166666666666664
neutral,anger,5.366666666666666
tenderness,inspiration,3.783333333333333
disgust,anger,6.266666666666667
neutral,fear,7.533333333333333
tenderness,joy,6.366666666666667
sadness,fear,5.158333333333333
amusement,anger,5.525
inspiration,disgust,6.483333333333333
neutral,disgust,6.05
tenderness,fear,6.241666666666667
joy,fear,6.283333333333333
tenderness,sadness,6.275
neutral,sadness,6.275
tenderness,disgust,4.0
joy,disgust,5.45
amusement,disgust,5.825
sadness,anger,6.075
inspiration,anger,6.075
fear,anger,5.216666666666667
joy,anger,5.566666666666666
joy,sadness,5.691666666666666
joy,inspiration,5.691666666666666
tenderness,anger,5.308333333333334
