emotion1,emotion2,similarity
inspiration,neutral,6.016666666666667
amusement,fear,1.0
inspiration,anger,6.016666666666667
joy,anger,1.0
sadness,fear,7.025
sadness,disgust,6.525
tenderness,sadness,7.991666666666667
amusement,disgust,1.9833333333333334
neutral,disgust,3.9833333333333334
inspiration,fear,5.541666666666667
tenderness,amusement,8.041666666666666
sadness,anger,7.475
neutral,anger,5.541666666666667
inspiration,disgust,6.533333333333333
neutral,fear,5.55
tenderness,disgust,6.516666666666667
tenderness,anger,6.558333333333334
amusement,neutral,7.016666666666667
amusement,sadness,5.991666666666667
inspiration,amusement,6.541666666666667
disgust,anger,7.558333333333334
fear,anger,8.008333333333333
joy,disgust,2.9833333333333334
joy,amusement,8.991666666666667
joy,fear,3.533333333333333
tenderness,fear,5.541666666666667
joy,neutral,5.558333333333334
tenderness,inspiration,7.991666666666667
fear,disgust,8.016666666666666
amusement,anger,3.525
joy,inspiration,6.983333333333333
neutral,sadness,5.483333333333333
tenderness,neutral,5.991666666666667
joy,sadness,3.6
tenderness,joy,7.45
inspiration,sadness,8.016666666666666
