emotion1,emotion2,similarity
disgust,anger,1.0
tenderness,disgust,1.0
neutral,sadness,1.025
amusement,anger,1.0166666666666666
joy,anger,1.0166666666666666
tenderness,fear,1.0166666666666666
sadness,fear,3.0166666666666666
fear,anger,2.0416666666666665
neutral,disgust,1.0499999999999998
neutral,anger,1.0333333333333332
tenderness,inspiration,4.0
inspiration,sadness,1.0
inspiration,anger,1.0
inspiration,amusement,1.0
tenderness,joy,1.9583333333333335
neutral,fear,1.0
amusement,disgust,1.0
amusement,sadness,1.0
amusement,neutral,1.0
joy,neutral,1.0
joy,disgust,1.0
amusement,fear,1.0
tenderness,neutral,3.025
joy,inspiration,1.9833333333333334
inspiration,disgust,1.0
tenderness,sadness,2.0
inspiration,fear,1.0416666666666665
joy,amusement,3.966666666666667
inspiration,neutral,1.9583333333333335
joy,sadness,1.0083333333333333
sadness,disgust,1.0083333333333333
joy,fear,1.0083333333333333
sadness,anger,1.0499999999999998
tenderness,anger,1.0916666666666668
fear,disgust,2.5416666666666665
tenderness,amusement,1.1166666666666667
