emotion1,emotion2,similarity
neutral,sadness,3.95
inspiration,sadness,1.1
joy,anger,1.0166666666666666
tenderness,sadness,4.625
inspiration,neutral,6.433333333333334
joy,amusement,7.6
fear,anger,5.733333333333333
amusement,fear,2.2333333333333334
inspiration,disgust,1.5833333333333335
amusement,sadness,2.65
amusement,neutral,5.4
sadness,fear,7.525
fear,disgust,7.108333333333333
tenderness,amusement,5.491666666666666
tenderness,neutral,5.975
joy,neutral,5.041666666666667
tenderness,inspiration,6.583333333333333
neutral,anger,4.708333333333334
amusement,disgust,2.341666666666667
joy,fear,1.6
tenderness,joy,6.016666666666667
disgust,anger,7.125
inspiration,amusement,4.775
sadness,anger,5.933333333333334
amusement,anger,2.8583333333333334
joy,inspiration,6.35
sadness,disgust,6.275
tenderness,anger,2.2333333333333334
inspiration,anger,1.5833333333333335
joy,disgust,2.5833333333333335
neutral,disgust,4.758333333333333
tenderness,fear,3.6333333333333333
tenderness,disgust,2.533333333333333
neutral,fear,5.108333333333333
joy,sadness,2.558333333333333
inspiration,fear,3.875
