emotion1,emotion2,similarity
sadness,anger,2.908333333333333
inspiration,neutral,1.3916666666666666
amusement,disgust,1.6416666666666666
sadness,fear,3.225
joy,disgust,1.25
disgust,anger,7.408333333333333
tenderness,joy,5.875
tenderness,neutral,3.841666666666667
fear,disgust,5.15
tenderness,amusement,2.6083333333333334
inspiration,sadness,5.858333333333333
inspiration,anger,7.608333333333333
fear,anger,5.383333333333334
sadness,disgust,3.416666666666667
neutral,anger,3.25
tenderness,anger,2.466666666666667
joy,fear,1.5750000000000002
inspiration,amusement,5.675
joy,amusement,7.691666666666666
amusement,anger,3.9
joy,inspiration,8.3
joy,neutral,5.566666666666666
neutral,disgust,1.75
inspiration,fear,1.8833333333333333
tenderness,fear,1.6916666666666669
amusement,neutral,3.283333333333333
inspiration,disgust,1.625
tenderness,inspiration,6.508333333333333
joy,sadness,1.4416666666666669
joy,anger,1.4416666666666669
amusement,sadness,1.4416666666666669
amusement,fear,1.4416666666666669
tenderness,sadness,5.841666666666667
tenderness,disgust,2.4
neutral,fear,2.433333333333333
neutral,sadness,2.433333333333333
