emotion1,emotion2,similarity
disgust,anger,5.975
tenderness,neutral,1.0
neutral,anger,1.0
inspiration,anger,1.0
fear,anger,1.975
tenderness,disgust,1.0
sadness,anger,1.4583333333333335
inspiration,sadness,1.0
joy,inspiration,6.433333333333334
neutral,disgust,1.0
joy,sadness,1.0
neutral,fear,1.0
fear,disgust,1.3583333333333334
amusement,fear,1.0
amusement,disgust,1.0
amusement,sadness,1.0
joy,disgust,1.0
tenderness,joy,6.616666666666667
tenderness,anger,1.0
neutral,sadness,1.0
joy,fear,1.0
tenderness,sadness,1.625
tenderness,fear,1.0
amusement,neutral,1.5833333333333335
tenderness,amusement,6.983333333333333
sadness,fear,1.9083333333333332
tenderness,inspiration,6.491666666666667
joy,neutral,1.0833333333333335
sadness,disgust,1.0
inspiration,amusement,1.7000000000000002
amusement,anger,1.0
joy,anger,1.0083333333333333
inspiration,neutral,1.2083333333333335
joy,amusement,8.483333333333334
inspiration,fear,1.125
inspiration,disgust,1.0
