blockIndex,responseTime,ifCorrect
1.0,1.986803200095892,0.0
1.0,1.6149925999343395,0.0
1.0,2.5460275998339057,0.0
1.0,4.212720800191164,1.0
1.0,1.8233174001798034,1.0
1.0,3.355864899698645,1.0
1.0,2.2758054002188146,1.0
1.0,2.8720207000151277,1.0
1.0,1.7622289997525513,1.0
1.0,2.256475900299847,1.0
2.0,2.8122312002815306,1.0
2.0,2.2187240002676845,1.0
2.0,1.7724633002653718,1.0
2.0,2.0160121000371873,1.0
2.0,2.6477004000917077,1.0
2.0,1.628585099708289,1.0
2.0,2.579339699819684,0.0
2.0,2.683085599914193,1.0
2.0,1.9743665996938944,1.0
2.0,2.1356440000236034,1.0
3.0,2.045010100118816,0.0
3.0,2.731254399754107,1.0
3.0,1.3035430000163615,1.0
3.0,1.668244999833405,1.0
3.0,4.338235000148416,1.0
3.0,2.8827882995828986,1.0
3.0,1.2729892004281282,1.0
3.0,2.021942100021988,1.0
3.0,2.3059493000619113,1.0
3.0,2.2046039002016187,1.0
4.0,3.2294338000938296,1.0
4.0,1.373800499830395,1.0
4.0,1.9220712999813259,1.0
4.0,1.347667200025171,1.0
4.0,1.7321220999583602,1.0
4.0,2.004767899867147,1.0
4.0,2.086151599884033,1.0
4.0,1.4375328999012709,1.0
4.0,1.7651586001738906,1.0
4.0,2.3637965000234544,1.0
5.0,2.144619000144303,1.0
5.0,3.0354586001485586,0.0
5.0,2.3045716998167336,1.0
5.0,1.792039600200951,1.0
5.0,1.4821436000056565,1.0
5.0,1.7538438998162746,1.0
5.0,1.726670099887997,1.0
5.0,1.9169347998686135,1.0
5.0,1.740266399923712,1.0
5.0,1.236479700077325,1.0
6.0,1.953048899769783,1.0
6.0,2.0468196999281645,1.0
6.0,1.3589777001179755,1.0
6.0,2.5662131998687983,1.0
6.0,1.5925448001362383,1.0
6.0,2.1534226001240313,1.0
6.0,2.714305399917066,1.0
6.0,2.1323660002090037,1.0
6.0,2.367855300195515,1.0
6.0,1.4845917001366615,1.0
