emotion1,emotion2,similarity
fear,disgust,2.025
joy,amusement,6.016666666666667
amusement,neutral,5.008333333333334
neutral,anger,1.0416666666666665
sadness,disgust,1.0
sadness,fear,1.0333333333333332
neutral,disgust,2.1083333333333334
inspiration,sadness,5.016666666666667
joy,disgust,1.0
fear,anger,3.0583333333333336
inspiration,anger,3.033333333333333
joy,neutral,1.0
amusement,disgust,1.0
disgust,anger,4.975
amusement,anger,1.0
inspiration,amusement,1.0
tenderness,amusement,5.933333333333334
tenderness,neutral,4.008333333333333
amusement,sadness,5.016666666666667
neutral,sadness,5.016666666666667
sadness,anger,3.0166666666666666
tenderness,anger,1.0
tenderness,joy,6.991666666666667
joy,anger,1.0083333333333333
joy,inspiration,6.016666666666667
tenderness,disgust,1.0
amusement,fear,2.0166666666666666
tenderness,sadness,2.966666666666667
joy,sadness,1.0
inspiration,neutral,1.0
joy,fear,1.0
neutral,fear,1.0
inspiration,disgust,1.0
tenderness,inspiration,5.991666666666667
tenderness,fear,1.0
inspiration,fear,2.0166666666666666
