emotion1,emotion2,similarity
fear,anger,2.3666666666666667
sadness,anger,2.8583333333333334
joy,sadness,1.2416666666666667
tenderness,sadness,2.925
inspiration,sadness,1.0499999999999998
tenderness,amusement,2.933333333333333
inspiration,anger,3.0083333333333333
amusement,fear,3.9916666666666667
amusement,anger,2.7583333333333333
neutral,sadness,1.35
joy,fear,1.3333333333333335
tenderness,anger,1.15
joy,anger,1.2666666666666666
inspiration,amusement,4.191666666666666
neutral,anger,1.2999999999999998
tenderness,fear,1.125
joy,neutral,1.2333333333333334
inspiration,neutral,1.3583333333333334
tenderness,disgust,1.2583333333333333
amusement,neutral,2.2666666666666666
amusement,sadness,1.2916666666666665
neutral,disgust,1.15
tenderness,neutral,4.016666666666667
fear,disgust,5.275
inspiration,fear,1.2833333333333332
joy,amusement,7.216666666666667
sadness,disgust,1.4
joy,inspiration,4.975
disgust,anger,1.4916666666666667
neutral,fear,1.35
tenderness,inspiration,2.941666666666667
sadness,fear,1.1666666666666665
inspiration,disgust,1.2083333333333335
joy,disgust,1.2833333333333332
tenderness,joy,5.016666666666667
amusement,disgust,1.1833333333333331
