emotion1,emotion2,similarity
inspiration,neutral,2.0
inspiration,fear,1.0
amusement,sadness,1.0
neutral,sadness,1.0
inspiration,sadness,1.0
tenderness,anger,1.0
joy,inspiration,5.95
sadness,disgust,2.0
amusement,disgust,1.0
tenderness,disgust,1.0
joy,fear,1.0666666666666669
neutral,fear,1.0
tenderness,amusement,2.05
tenderness,neutral,1.0
neutral,disgust,1.0
joy,anger,1.0
neutral,anger,1.0
amusement,fear,1.0
inspiration,amusement,1.5583333333333331
tenderness,joy,3.908333333333333
tenderness,sadness,4.983333333333333
fear,disgust,5.008333333333334
inspiration,disgust,1.0166666666666666
amusement,neutral,1.0
tenderness,inspiration,3.1
fear,anger,1.0583333333333331
inspiration,anger,1.0
disgust,anger,1.0666666666666669
joy,amusement,8.058333333333334
joy,neutral,1.0
sadness,fear,1.1583333333333332
sadness,anger,1.025
joy,sadness,1.0916666666666668
amusement,anger,1.0
joy,disgust,1.0666666666666669
tenderness,fear,1.0666666666666669
