emotion1,emotion2,similarity
joy,neutral,3.9416666666666664
neutral,fear,3.1083333333333334
inspiration,sadness,2.0
sadness,fear,2.3
inspiration,amusement,3.041666666666667
fear,anger,2.408333333333333
disgust,anger,1.9916666666666667
inspiration,disgust,1.5
tenderness,sadness,2.5833333333333335
fear,disgust,3.3166666666666664
neutral,anger,1.8333333333333335
sadness,anger,2.7416666666666667
joy,anger,2.9
neutral,disgust,2.0
tenderness,disgust,2.9583333333333335
tenderness,neutral,3.575
amusement,anger,2.908333333333333
amusement,sadness,2.025
tenderness,amusement,2.433333333333333
joy,amusement,3.35
neutral,sadness,2.225
tenderness,fear,2.1
joy,sadness,2.525
amusement,neutral,2.7333333333333334
joy,inspiration,2.933333333333333
inspiration,anger,3.1083333333333334
tenderness,joy,2.316666666666667
inspiration,fear,3.8
amusement,fear,4.166666666666666
sadness,disgust,2.6333333333333333
tenderness,anger,2.4916666666666667
joy,fear,2.658333333333333
tenderness,inspiration,3.0166666666666666
amusement,disgust,2.0416666666666665
inspiration,neutral,3.5166666666666666
joy,disgust,2.0
