emotion1,emotion2,similarity
tenderness,sadness,3.9833333333333334
sadness,fear,1.9916666666666667
inspiration,disgust,1.4916666666666667
tenderness,disgust,1.0083333333333333
tenderness,amusement,5.0
joy,anger,1.0
amusement,anger,1.0
joy,neutral,1.0166666666666666
joy,fear,1.0083333333333333
neutral,anger,1.0166666666666666
inspiration,amusement,2.0
tenderness,fear,1.0083333333333333
tenderness,anger,1.475
amusement,sadness,1.0
neutral,sadness,1.0
inspiration,sadness,1.4500000000000002
amusement,disgust,1.0
tenderness,joy,8.983333333333334
sadness,anger,9.0
tenderness,neutral,7.0
neutral,fear,1.0
joy,sadness,1.0
inspiration,anger,8.0
neutral,disgust,1.0
inspiration,neutral,2.5166666666666666
amusement,fear,1.0
tenderness,inspiration,8.433333333333334
inspiration,fear,1.9666666666666668
fear,disgust,7.983333333333333
joy,disgust,1.0
sadness,disgust,1.0
joy,amusement,7.983333333333333
fear,anger,3.0083333333333333
joy,inspiration,6.966666666666667
amusement,neutral,7.008333333333333
disgust,anger,7.008333333333333
