emotion1,emotion2,similarity
tenderness,inspiration,4.0
inspiration,disgust,1.0
amusement,disgust,1.0
tenderness,sadness,4.008333333333333
joy,inspiration,4.658333333333333
joy,amusement,9.0
inspiration,anger,1.0666666666666669
inspiration,amusement,1.0
fear,anger,4.116666666666667
amusement,anger,2.025
joy,anger,1.0
tenderness,amusement,1.0
tenderness,fear,1.0
joy,fear,1.0
amusement,sadness,1.0
joy,disgust,1.0
sadness,fear,7.008333333333333
sadness,disgust,1.0
tenderness,disgust,1.0
disgust,anger,4.6
tenderness,neutral,9.0
amusement,fear,1.0
inspiration,neutral,5.1
amusement,neutral,5.108333333333333
neutral,sadness,5.016666666666667
sadness,anger,5.491666666666666
joy,neutral,6.775
inspiration,fear,1.0
tenderness,anger,1.0
joy,sadness,1.0
tenderness,joy,4.691666666666666
neutral,anger,4.983333333333333
neutral,disgust,5.141666666666667
inspiration,sadness,1.0
neutral,fear,4.716666666666667
fear,disgust,1.0499999999999998
