emotion1,emotion2,similarity
neutral,fear,1.0
tenderness,inspiration,1.9833333333333334
neutral,disgust,1.0
tenderness,sadness,1.0
joy,disgust,1.0
amusement,neutral,1.4249999999999998
joy,neutral,1.6916666666666669
inspiration,neutral,1.5583333333333331
amusement,sadness,1.0
sadness,fear,2.9916666666666667
fear,anger,2.3666666666666667
tenderness,amusement,2.5083333333333333
sadness,disgust,1.0
neutral,anger,1.0
joy,inspiration,6.458333333333333
disgust,anger,1.5750000000000002
tenderness,disgust,1.0
inspiration,amusement,4.608333333333333
joy,anger,1.0
inspiration,sadness,1.0
tenderness,anger,1.0
fear,disgust,3.275
neutral,sadness,1.0
inspiration,disgust,1.0
inspiration,fear,1.0
joy,sadness,1.0
tenderness,neutral,3.775
amusement,disgust,1.0
joy,fear,1.0
tenderness,joy,5.983333333333333
joy,amusement,7.0
amusement,anger,2.658333333333333
tenderness,fear,1.0
sadness,anger,1.0
amusement,fear,1.0
inspiration,anger,3.325
