emotion1,emotion2,similarity
sadness,fear,6.108333333333333
joy,neutral,3.0
tenderness,anger,1.1166666666666667
tenderness,fear,1.125
joy,inspiration,8.175
neutral,fear,4.008333333333333
tenderness,sadness,1.0833333333333335
fear,disgust,8.566666666666666
sadness,disgust,8.35
neutral,sadness,3.5583333333333336
tenderness,disgust,1.1833333333333331
amusement,disgust,3.3916666666666666
tenderness,inspiration,7.416666666666666
sadness,anger,7.866666666666667
disgust,anger,7.55
joy,fear,1.5499999999999998
inspiration,anger,5.5
inspiration,sadness,4.991666666666667
joy,sadness,1.0
fear,anger,6.491666666666667
joy,disgust,1.3666666666666667
inspiration,neutral,4.325
tenderness,joy,8.308333333333334
neutral,disgust,3.875
inspiration,amusement,4.041666666666666
inspiration,disgust,1.6
joy,anger,2.25
tenderness,neutral,3.958333333333333
amusement,anger,2.3583333333333334
amusement,sadness,1.7416666666666667
amusement,neutral,4.016666666666667
amusement,fear,1.275
neutral,anger,4.016666666666667
joy,amusement,7.008333333333333
inspiration,fear,2.0
tenderness,amusement,6.558333333333334
