emotion1,emotion2,similarity
inspiration,sadness,1.6916666666666669
amusement,sadness,1.0166666666666666
inspiration,anger,4.091666666666667
fear,anger,3.1166666666666667
disgust,anger,7.091666666666667
joy,inspiration,7.316666666666666
tenderness,sadness,2.9
tenderness,fear,2.7916666666666665
tenderness,neutral,4.325
sadness,anger,3.0666666666666664
joy,sadness,1.2333333333333334
inspiration,fear,3.625
tenderness,disgust,1.1583333333333332
inspiration,neutral,3.833333333333333
tenderness,joy,6.5
sadness,fear,2.466666666666667
sadness,disgust,2.875
amusement,neutral,1.6583333333333332
amusement,anger,1.2666666666666666
joy,neutral,1.6
tenderness,amusement,2.433333333333333
neutral,fear,2.2583333333333333
inspiration,amusement,3.8916666666666666
joy,anger,1.15
fear,disgust,7.15
neutral,disgust,2.375
joy,amusement,7.416666666666666
tenderness,anger,3.1833333333333336
neutral,sadness,2.8583333333333334
joy,disgust,1.8333333333333335
tenderness,inspiration,7.875
inspiration,disgust,3.408333333333333
joy,fear,1.4083333333333332
amusement,disgust,1.4166666666666665
neutral,anger,2.075
amusement,fear,1.7166666666666668
