emotion1,emotion2,similarity
neutral,disgust,1.0
tenderness,neutral,5.008333333333334
disgust,anger,1.0
inspiration,amusement,1.0
sadness,disgust,1.0
neutral,fear,1.0
sadness,fear,1.0
inspiration,sadness,1.0
inspiration,fear,1.0
joy,anger,1.0
tenderness,anger,1.0
joy,amusement,3.975
fear,disgust,2.441666666666667
joy,fear,1.0
inspiration,neutral,1.5
tenderness,sadness,1.0
inspiration,disgust,1.0
joy,sadness,1.0
amusement,neutral,2.533333333333333
joy,inspiration,6.558333333333334
tenderness,amusement,1.0
neutral,anger,1.0
fear,anger,1.0
sadness,anger,1.0
tenderness,fear,1.0
tenderness,joy,1.9666666666666668
amusement,sadness,1.0
tenderness,inspiration,1.125
amusement,disgust,1.0
joy,neutral,1.35
neutral,sadness,1.0
tenderness,disgust,1.0
joy,disgust,1.0
amusement,anger,1.0
inspiration,anger,1.0
amusement,fear,1.0
