emotion1,emotion2,similarity
tenderness,anger,1.0083333333333333
sadness,disgust,1.0083333333333333
sadness,fear,2.9916666666666667
neutral,anger,1.0
joy,inspiration,6.025
inspiration,anger,1.0
fear,anger,1.9916666666666667
tenderness,joy,6.0
inspiration,sadness,1.0
inspiration,amusement,5.008333333333334
tenderness,disgust,1.0416666666666665
joy,sadness,1.0
joy,neutral,4.008333333333333
disgust,anger,6.0
neutral,fear,1.0
amusement,disgust,1.0
inspiration,fear,1.0
amusement,sadness,2.0
fear,disgust,7.0
tenderness,inspiration,8.0
tenderness,sadness,2.0166666666666666
neutral,sadness,1.0
joy,disgust,1.0
joy,fear,1.0
joy,amusement,7.016666666666667
inspiration,disgust,1.0
joy,anger,1.0
amusement,neutral,1.975
tenderness,neutral,6.0
amusement,anger,2.0166666666666666
inspiration,neutral,5.991666666666667
neutral,disgust,1.0166666666666666
amusement,fear,1.025
tenderness,amusement,6.008333333333333
sadness,anger,1.0
tenderness,fear,1.0
