emotion1,emotion2,similarity
joy,neutral,1.0
fear,disgust,1.0
inspiration,fear,1.0
sadness,disgust,1.0
neutral,sadness,1.0
tenderness,sadness,1.9666666666666668
joy,sadness,1.0
disgust,anger,4.975
amusement,sadness,1.025
inspiration,sadness,1.0
neutral,disgust,1.0
joy,amusement,6.966666666666667
sadness,anger,3.0166666666666666
joy,anger,1.0166666666666666
tenderness,amusement,3.0083333333333333
neutral,anger,1.0333333333333332
tenderness,joy,3.0083333333333333
tenderness,disgust,1.0
amusement,anger,1.9583333333333335
tenderness,anger,1.0
fear,anger,2.975
inspiration,anger,1.0166666666666666
tenderness,fear,1.0
inspiration,neutral,1.0
inspiration,disgust,1.0
amusement,neutral,1.0
amusement,fear,1.0
tenderness,inspiration,2.975
inspiration,amusement,1.0
sadness,fear,1.0
amusement,disgust,1.0
joy,inspiration,2.975
tenderness,neutral,1.0
neutral,fear,1.0083333333333333
joy,disgust,1.0
joy,fear,1.0
