emotion1,emotion2,similarity
inspiration,disgust,1.0083333333333333
sadness,anger,1.0
joy,inspiration,1.975
amusement,neutral,1.0
amusement,fear,1.0083333333333333
joy,disgust,1.0
tenderness,neutral,2.975
amusement,sadness,1.0
sadness,fear,1.9833333333333334
joy,fear,1.0
inspiration,amusement,1.1083333333333334
tenderness,fear,1.1
tenderness,anger,1.0333333333333332
joy,sadness,1.0
tenderness,disgust,1.0
neutral,disgust,1.0
amusement,disgust,1.0
inspiration,neutral,1.4500000000000002
sadness,disgust,1.0
neutral,anger,1.0
disgust,anger,1.2666666666666666
neutral,sadness,1.0
neutral,fear,1.0
inspiration,anger,1.0499999999999998
joy,neutral,1.0
fear,disgust,1.4666666666666668
tenderness,joy,2.475
tenderness,inspiration,1.1083333333333334
fear,anger,1.0
inspiration,sadness,1.0
inspiration,fear,1.0
joy,amusement,1.9666666666666668
joy,anger,1.0
tenderness,amusement,1.2666666666666666
amusement,anger,1.0
tenderness,sadness,1.1083333333333334
